Movie,Directors,Ranking,year,region,length,genre
Pandora's Box,G.W. Pabst,272,1929, Germany ,133m, Drama
Love Streams,John Cassavetes,273,1984, USA ,141m, Drama
Memories of Underdevelopment,Tomás Gutiérrez Alea,274,1968, Cuba ,97m, Psychological Drama
Cinema Paradiso,Giuseppe Tornatore,275,1988, Italy-France ,123m, Drama
Monsieur Verdoux,Charles Chaplin,276,1947, USA ,123m, Black Comedy
La Belle et la bÃªte,Jean Cocteau,277,1946, France ,95m, Fairy Tale
Eraserhead,David Lynch,278,1977, USA ,85m, Avant-garde-Experimental
The Maltese Falcon,John Huston,279,1941, USA ,100m, Mystery
The Birth of a Nation,D.W. Griffith,280,1915, USA ,187m, Epic
The Big Sleep,Howard Hawks,281,1946, USA ,114m, Mystery
The Empire Strikes Back,Irvin Kershner,282,1980, USA ,124m, Science Fiction
An Autumn Afternoon,Yasujiro Ozu,283,1962, Japan ,115m, Family Drama
Kings of the Road,Wim Wenders,284,1976, West Germany ,175m, Drama
The Music Room,Satyajit Ray,285,1958, India ,95m, Drama
The Matrix,Lana Wachowski & Lilly Wachowski,286,1999, USA-Australia ,136m, Science Fiction
Underground,Emir Kusturica,287,1995, France-Germany-Hungary ,192m, Comedy Drama
The World of Apu,Satyajit Ray,288,1959, India ,103m, Drama
Husbands,John Cassavetes,289,1970, USA ,138m, Drama
The Sacrifice,Andrei Tarkovsky,290,1986, France-Sweden ,145m, Psychological Drama
Touki Bouki,Djibril Diop Mambéty,291,1973, Senegal ,85m, Drama
All About My Mother,Pedro Almodóvar,292,1999, Spain-France ,101m, Comedy Drama
The Philadelphia Story,George Cukor,293,1940, USA ,112m, Screwball Comedy
Day of Wrath,Carl Theodor Dreyer,294,1943, Denmark ,110m, Period Film
Berlin Alexanderplatz,Rainer Werner Fassbinder,295,1980, West Germany-Italy ,894m, Epic
The Thing,John Carpenter,296,1982, USA ,108m, Science Fiction
Peeping Tom,Michael Powell,297,1960, UK ,109m, Thriller
Mr. Hulot's Holiday,Jacques Tati,298,1953, France ,86m, Comedy
Harold and Maude,Hal Ashby,299,1971, USA ,90m, Black Comedy
The Kid,Charles Chaplin,300,1921, USA ,60m, Comedy Drama
A Canterbury Tale,Michael Powell & Emeric Pressburger,301,1944, UK ,124m, Comedy Drama
Videodrome,David Cronenberg,302,1983, Canada ,90m, Media Satire
Red Desert,Michelangelo Antonioni,303,1964, Italy-France ,118m, Drama
Cabaret,Bob Fosse,304,1972, USA ,128m, Musical
This is Spinal Tap,Rob Reiner,305,1984, USA ,82m, Mockumentary
The Last Picture Show,Peter Bogdanovich,306,1971, USA ,118m, Drama
Killer of Sheep,Charles Burnett,307,1977, USA ,83m, Drama
Orpheus,Jean Cocteau,308,1950, France ,95m, Fantasy
Snow White and the Seven Dwarfs,David Hand,309,1937, USA ,83m, Children's Fantasy
Terra em Transe,Glauber Rocha,310,1967, Brazil ,106m, Drama
Back to the Future,Robert Zemeckis,311,1985, USA ,116m, Teen Movie
Reservoir Dogs,Quentin Tarantino,312,1992, USA ,99m, Crime Thriller
Dawn of the Dead,George A. Romero,313,1978, USA ,126m, Horror
To Kill a Mockingbird,Robert Mulligan,314,1962, USA ,129m, Courtroom Drama
The Time to Live and the Time to Die,Hou Hsiao-hsien,315,1985, Taiwan ,137m, Coming-of-Age
The Puppetmaster,Hou Hsiao-hsien,316,1993, Taiwan ,141m, Biography
Where is the Friend's Home?,Abbas Kiarostami,317,1987, Iran ,85m, Drama
West Side Story,Robert Wise & Jerome Robbins,318,1961, USA ,151m, Musical Romance
Amadeus,Milos Forman,319,1984, USA ,158m, Musical Drama
Bride of Frankenstein,James Whale,320,1935, USA ,75m, Monster Film
Listen to Britain,Humphrey Jennings,321,1942, UK ,20m, Culture & Society
