Movie,Directors,Ranking
Pl_¡cido,Luis García Berlanga,535
"Farewell, My Concubine",Chen Kaige,536
Down by Law,Jim Jarmusch,537
Inland Empire,David Lynch,538
Being There,Hal Ashby,539
Providence,Alain Resnais,540
Loves of a Blonde,Milos Forman,541
Colossal Youth,Pedro Costa,542
Am_©lie,Jean-Pierre Jeunet,543
Laura,Otto Preminger,544
That Obscure Object of Desire,Luis Buñuel,545
Picnic at Hanging Rock,Peter Weir,546
Our Hospitality,Buster Keaton & John G. Blystone,547
Cat People,Jacques Tourneur,548
Ninotchka,Ernst Lubitsch,549
Pan's Labyrinth,Guillermo del Toro,550
No Country for Old Men,Joel Coen & Ethan Coen,551
Bring Me the Head of Alfredo Garcia,Sam Peckinpah,552
My Own Private Idaho,Gus Van Sant,553
Splendor in the Grass,Elia Kazan,554
Trainspotting,Danny Boyle,555
"The Devil, Probably",Robert Bresson,556
Grizzly Man,Werner Herzog,557
Boudu Saved from Drowning,Jean Renoir,558
Deliverance,John Boorman,559
The Asphalt Jungle,John Huston,560
I Vitelloni,Federico Fellini,561
Faust,F.W. Murnau,562
Aparajito,Satyajit Ray,563
Songs from the Second Floor,Roy Andersson,564
Die Hard,John McTiernan,565
Scorpio Rising,Kenneth Anger,566
Ben-Hur,William Wyler,567
Secrets & Lies,Mike Leigh,568
Limite,Mario Peixoto,569
The French Connection,William Friedkin,570
Hana-bi,Takeshi Kitano,571
Salesman,"Albert Maysles, David Maysles & Charlotte Zwerin",572
A Hard Day's Night,Richard Lester,573
The Royal Tenenbaums,Wes Anderson,574
Rocky,John G. Avildsen,575
Alice in the Cities,Wim Wenders,576
Hatari!,Howard Hawks,577
Nazar_­n,Luis Buñuel,578
Rushmore,Wes Anderson,579
Fellini Satyricon,Federico Fellini,580
Detour,Edgar G. Ulmer,581
Love Me Tonight,Rouben Mamoulian,582
And Life Goes Onâ_¦,Abbas Kiarostami,583
Rosetta,Jean-Pierre Dardenne & Luc Dardenne,584
The Lady Vanishes,Alfred Hitchcock,585
Full Metal Jacket,Stanley Kubrick,586
I Walked with a Zombie,Jacques Tourneur,587
The Blue Angel,Josef von Sternberg,588
The Red Circle,Jean-Pierre Melville,589
Walkabout,Nicolas Roeg,590
"Dr. Mabuse, The Gambler",Fritz Lang,591
Scarface,Brian De Palma,592
The Manchurian Candidate,John Frankenheimer,593
Silent Light,Carlos Reygadas,594
Arrebato,Iván Zulueta,595
Memento,Christopher Nolan,596
Rebecca,Alfred Hitchcock,597
The Killing,Stanley Kubrick,598
Blissfully Yours,Apichatpong Weerasethakul,599
Bande __ part,Jean-Luc Godard,600
Twenty Years Later,Eduardo Coutinho,601
